movie_id,Rating,gross_income_doller,budget,Vote,Gross,rm_apr,rm_aug,rm_dec,rm_feb,rm_jan,rm_jul,rm_jun,rm_mar,rm_may,rm_nov,rm_oct,rm_sep,Year,Duration,MetaScore,Name,producer,producer_no,pop_rank_producer,Producer_fb_like,actor_1_name,actor_1_no,pop_rank_actor_1,actor_1_fb_likes,actor_2_name,actor_2_no,pop_rank_actor_2,actor_2_fb_likes,actor_3_name,actor_3_no,pop_rank_actor_3,actor_3_fb_likes,composer,composer_no,pop_rank_composer,composer_fb_like,directors,director_no,pop_rank_director,director_fb_likes,total_rank,total_fb_like, Musical, Mystery,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Romance,Sci_Fi,Sport,Thriller,War,Western,Assamese,Bengali,Bhojpuri,English,Gujarati,Hindi,Kannada,Malayalam,Mandarin,Marathi,Punjabi,Tamil,Telugu,Tibetan,Urdu,class
6363436,5.5,61590,1400000,2746,675101,0,0,0,0,0,0,0,0,0,0,0,0,2017,135,0,1971: Beyond Borders,Haneef Mohammed,2,5.5,0,Mohanlal,56,7.98,4963243,Allu Sirish,1,4,1177871,Arunoday Singh,4,5.75,0,Siddharth Vipin,4,6,1129,Major Ravi,1,4,0,5.54,6142243,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
5543690,6,373271,140000,105,675101,1,0,0,0,0,0,0,0,0,0,0,0,2016,125,0,Game,A.M.R. Ramesh,1,6,0,Arjun Sarja,6,6.17,372032,Manisha Koirala,25,6.52,47845,Shaam,3,8.67,0,Ilaiyaraaja,76,7.53,0,A.M.R. Ramesh,1,6,0,6.82,419877,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0
4948632,7.2,373271,427000,1221,675101,0,0,0,0,0,0,0,0,0,0,1,0,2015,160,0,Rajkahini,Mahendra Soni,27,6.56,9790,Rituparna Sengupta,3,8,0,Lily Chakravarty,1,10,0,Parno Mittra,1,10,455865,Indraadip Dasgupta,15,7.13,0,Srijit Mukherji,15,7.6,0,8.22,465655,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5495270,4.1,373271,1400000,147,675101,0,0,0,0,0,0,0,0,0,0,0,0,2016,137,0,Thirunaal,M. Senthil Kumar,1,6,0,Jiiva,12,5.67,0,Nayanthara,23,6.39,200416,Karunas,5,6.6,9101,Srikanth Deva,7,5.86,2636,Ramnath,2,6,0,6.09,212153,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
7512624,5,101358,1400000,440,675101,0,0,0,1,0,0,0,0,0,0,0,0,2018,149,0,Oru Nalla Naal Paarthu Soldren, Unknown,419,6.72,411821,Annayya,1,5,0,Viji Chandrashekhar,1,5,803,David,1,5,5252,Justin Prabhakaran,3,6,5314,P. Arumugakumar,1,5,5311,5.45,428501,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
8011308,6.2,373271,1400000,171,675101,0,0,0,0,0,0,0,0,0,0,0,0,2019,136,0,Suttu Pidikka Utharavu,P.K. Ram Mohan,1,6,0,Myshkin,2,7,0,Suseenthiran,1,6,0,Vikranth,1,6,7108,Jakes Bejoy,8,7.63,0,Ramprakash Rayappa,2,7,2403,6.61,9511,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
6531872,6.7,373271,560000,469,675101,0,0,0,0,0,0,1,0,0,0,0,0,2017,120,0,Chaamp, Unknown,419,6.72,411821,Raj Chakraborty,1,6,1838597,Biplab Chatterjee,2,6,0,Chiranjit,1,6,0, Unknown,427,6.54,38071,Raj Chakraborty,13,6.77,1838597,6.34,4127086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1562859,5.4,2067671,1400000,6792,1132192,0,0,0,0,0,0,0,0,0,1,0,0,2010,155,0,Golmaal 3,Dhilin Mehta,4,7.25,0,Mithun Chakraborty,31,6.39,0,Ajay Devgn,13,6.15,7777774,Kareena Kapoor,10,6.7,291975,Amar Mohile,29,6.21,0,Rohit Shetty,14,6.86,0,6.59,8069749,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
6689882,2.5,373271,1400000,158,675101,0,0,0,0,0,0,0,0,0,0,0,0,2019,162,0,Rangeela Raja,Pahlaj Nihalani,8,6.13,19,Govinda,45,5.84,738992,Mishika Chourasia,1,6,45130,Karan Aanand,2,7,31975,Ishwar Kumar,1,6,0,Sikander Bharti,5,6.2,0,6.2,816116,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
5323640,6.3,186138,1400000,4860,675101,0,0,0,1,0,0,0,0,0,0,0,0,2017,155,0,Singam 3,Jithin Thorai,2,4,0,Suriya,23,7.22,0,Anushka Shetty,11,6.18,0,Shruti Haasan,3,5,18439809,Harris Jayaraj,36,7.42,465818,Hari,9,6.44,3469,6.04,18909096,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0
